"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full1",52100340,"Inj_vol",50829600,"180821_Poo_Day1and2Poo_Full1 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full2",39581728,"Inj_vol",38616320,"180821_Poo_Day1and2Poo_Full2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full3",55869688,"Inj_vol",54507012.6829268,"180821_Poo_Day1and2Poo_Full3 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full4",63632484,"Inj_vol",62080472.195122,"180821_Poo_Day1and2Poo_Full4 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full5",64080196,"Inj_vol",62517264.3902439,"180821_Poo_Day1and2Poo_Full5 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Full6",68660816,"Inj_vol",66986161.9512195,"180821_Poo_Day1and2Poo_Full6 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half1",27779714,"Inj_vol",54204320,"180821_Poo_Day1and2Poo_Half1 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half2",21481762,"Inj_vol",41915633.1707317,"180821_Poo_Day1and2Poo_Half2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half3",29578770,"Inj_vol",57714673.1707317,"180821_Poo_Day1and2Poo_Half3 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half4",32788278,"Inj_vol",63977127.804878,"180821_Poo_Day1and2Poo_Half4 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half5",33387810,"Inj_vol",65146946.3414634,"180821_Poo_Day1and2Poo_Half5 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1and2Poo","Half6",34290664,"Inj_vol",66908612.6829268,"180821_Poo_Day1and2Poo_Half6 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1Poo","DDApos20",44911204,"Inj_vol",43815808.7804878,"180821_Poo_Day1Poo_DDApos20 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1Poo","DDApos35.2",59183836,"Inj_vol",57740327.804878,"180821_Poo_Day1Poo_DDApos35.2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","Day1Poo","DDApos50",55431032,"Inj_vol",54079055.6097561,"180821_Poo_Day1Poo_DDApos50 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","MesoScopeQC","1",64528140,"Inj_vol",62954282.9268293,"180821_Poo_MesoScopeQC_1 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","MesoScopeQC","2",58741244,"Inj_vol",57308530.7317073,"180821_Poo_MesoScopeQC_2 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","MesoScopeQC","3",71245528,"Inj_vol",69507832.1951219,"180821_Poo_MesoScopeQC_3 (3-Carboxypropyl)trimethylammonium (TMAB)"
"(3-Carboxypropyl)trimethylammonium (TMAB)","Inj_vol",0.147391048758616,0.147391048758616,"180821","Poo","MesoScopeQC","4",77414600,"Inj_vol",75526439.0243902,"180821_Poo_MesoScopeQC_4 (3-Carboxypropyl)trimethylammonium (TMAB)"
