"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Vitamin B3",0.0102848516296476,0.000768283213227656,0.0269634660661501,0.0617091097778859,0.00460969927936594,0.161780796396901,0.0000635699131003687,0.00001199393596104,0.0001751158126443
"Valine",1.53838589239762,1.11234040830833,3.2753573809592,7.6919294619881,5.56170204154166,16.376786904796,0.00749776949581604,0.00162284912169799,0.0243302511031012
"Uridine",0.00476012751279543,0.000114120218198402,0.0267503597652977,0.0428411476151589,0.00102708196378562,0.240753237887679,0.0000332121051895076,0.00000245484822885877,0.000188937314235859
"Uracil",0.0386804508582364,0.0184685865761477,0.111082941826259,0.154721803432945,0.0738743463045907,0.444331767305037,0.000144230483154395,0.0000264375089378928,0.000693865873322993
"UDP-glucosamine",0.00151984548581976,0.000594254307126847,0.0105840768907494,0.025837373258936,0.0101023232211564,0.17992930714274,0.0000220621481580567,0.00000373493958299492,0.000139319327264636
"Tyrosine",0.0260740451924308,0.00527780365963607,0.0858818549402281,0.234666406731878,0.0475002329367246,0.772936694462053,0.000250972472774631,0.0000623831803183593,0.000836368763388215
"Turicine",0.00871843458538397,0.0013399463759614,0.0260228629926085,0.0610290420976878,0.0093796246317298,0.18216004094826,0.0000600272652293237,0.000011410786755313,0.000151266691685074
"Trimethylammonium Propionate (TMAP)",4.19990321961512,1.78490081360069,13.579727754358,25.1994193176907,10.7094048816041,81.478366526148,0.0273048609819073,0.00502837932392166,0.0630887285195795
"Trimethylamine N-oxide",1.04370164464645,0.179903014330953,13.4072010906079,3.13110493393934,0.539709042992858,40.2216032718238,0.0034274664842005,0.000512929215393934,0.0410508448820242
"Trimethyl-L-lysine",1.49348898625533,0.256658904027369,9.73986915551287,13.4414008762979,2.30993013624632,87.6588223996159,0.0121474300771917,0.00322822816483693,0.0827939332634673
"Trigonelline",0.0174614698925237,0.00434696712310856,0.0952377731521532,0.122230289247666,0.0304287698617599,0.666664412065072,0.00013051877430616,0.0000328907980502058,0.000680408913167827
"trans Hydroxyl proline",0.00109379587952951,0.0000639434079121199,0.0045801199623229,0.00546897939764756,0.0003197170395606,0.0229005998116145,0.00000501413508392921,0.000000609787978648579,0.000018834861925274
"Thymine",0.0229118132378998,0.00325718660500434,0.0684328344645454,0.114559066189499,0.0162859330250217,0.342164172322727,0.000111742480491512,0.0000251815396843907,0.000286985171798581
"Thymidine",0.000884812171732728,0.000218845056809282,0.0181924991711876,0.00884812171732728,0.00218845056809282,0.181924991711876,0.00000723942461882132,0.00000146365992034103,0.000151680124002986
"Threonine",0.0062178208170995,0.00108076988693275,0.0425383149319185,0.024871283268398,0.00432307954773099,0.170153259727674,0.0000271780589693111,0.00000494215691719374,0.000166798819244491
"Taurine",0.231363913108487,0.0270898317718378,11.0050020297731,0.462727826216973,0.0541796635436756,22.0100040595461,0.000420250603446646,0.000102106693334255,0.0170423540631724
"Sulfolactic Acid",0.559389241818411,0.0915965064895258,1.50247168660789,1.67816772545523,0.274789519468577,4.50741505982368,0.00134387750275835,0.000101449652561556,0.00353641363998305
"Sulfoacetic Acid",0.00388916690457772,0.00069667487499779,0.0129555479575072,0.00777833380915545,0.00139334974999558,0.0259110959150144,0.00000323215219559473,0.00000162090727325346,0.0000141907630455998
"Sucrose",0.0990125604500053,0.000915984650256637,0.384943660146363,1.18815072540006,0.0109918158030796,4.61932392175636,0.000672307776548041,0.000021913496750254,0.0047145596979393
"Succinic semialdehyde",0.0000553832178761485,0.0000124622204603225,0.000238300846948034,0.000221532871504594,0.0000498488818412898,0.000953203387792136,0.000000196722142537285,0.0000000368675807739518,0.0000028940602864039
"Succinic Acid",0.0442985931674547,0.0215000442504781,0.0690352244025365,0.177194372669819,0.0860001770019124,0.276140897610146,0.000173638574443519,0.0000416728068575484,0.000838402816713157
"Stachydrine hydrochloride",0.00839408182672662,0.00172947170019922,0.0288340018123741,0.0587585727870864,0.0121063019013945,0.201838012686618,0.0000572311782786612,0.000010341736720398,0.000205999270941511
"Shikimic Acid",0.00296496618472642,0.000515565991155012,0.102412117927444,0.0207547632930849,0.00360896193808508,0.716884825492105,0.0000232036786313276,0.00000141380552045044,0.00124912584160017
"Serine",0.0831639170714473,0.045716911013994,0.192287223857097,0.249491751214342,0.137150733041982,0.57686167157129,0.000253941562294149,0.0000419780351905778,0.000829396732161221
"Sarcosine",0.0346300082544227,0.00487940329170148,0.145887780759089,0.103890024763268,0.0146382098751044,0.437663342277268,0.0000924337023180449,0.0000239156226754223,0.000364902201745401
"Salicylic Acid",0.000738360910843287,0.000205317406348598,0.00497807295856402,0.00516852637590301,0.00143722184444018,0.0348465107099481,0.00000493459915745155,0.00000101896360034342,0.0000586021735824859
"Resorcylic Acid",0.0000648218772636198,0.0000474687473633463,0.000139090753306063,0.000453753140845339,0.000332281231543424,0.000973635273142438,0.000000422331206802096,0.000000100513052191212,0.00000137327123852662
"Propionyl-L-carnitine",0.000436795649833377,0.00010552270782325,0.001410790275406,0.00436795649833377,0.0010552270782325,0.01410790275406,0.00000510156373055801,0.00000100871693378017,0.000011145812559294
"Propanesulfonate",0.0000384690028218156,0.0000296952746379465,0.000139247513636367,0.000115407008465447,0.0000890858239138395,0.000417742540909101,0.000000107757387375679,0.0000000449483417484431,0.000000814875912061374
"Proline",0.0395181795442138,0.00930963434203112,0.167095377299965,0.197590897721069,0.0465481717101556,0.835476886499824,0.000193216167772923,0.0000604088647977291,0.00066834497959641
"PQS",0.000504048729166571,0.0000276031057822908,0.00583577828386909,0.00806477966666514,0.000441649692516653,0.0933724525419054,0.00000813819683939446,0.000000398539274159597,0.0000872215200284308
"Oxalic Acid",0.0479529111798574,0.00860537913770655,0.532452896036185,0.0959058223597148,0.0172107582754131,1.06490579207237,0.000105734310737215,0.0000045845335961892,0.00239708551849293
"Orotic Acid",0.0000934345109378534,0.00000464504689196975,0.00172044232104336,0.000467172554689267,0.0000232252344598488,0.00860221160521681,0.000000449228871052068,0.0000000251312439476099,0.00000906229757126231
"Ornithine",0.0124601409264989,0.00260946207883541,0.0625479691189013,0.0623007046324947,0.013047310394177,0.312739845594507,0.0000581214161043996,0.0000170329494674057,0.000306574420374646
"Ophthalmic Acid",0.000365444382275717,0.0000259476959606496,0.00234989974519455,0.00401988820503289,0.000285424655567146,0.02584889719714,0.00000310729220189584,0.00000022236177837013,0.0000293911154817772
"N(e)-Acetyl-Lysine",0.019205251906065,0.00376029777669483,1.8313111261943,0.15364201524852,0.0300823822135586,14.6504890095544,0.000247761900351248,0.0000450902995660787,0.0121110106397463
