"SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"Day1and2Poo",3754.09142812678,1517.6345740949
"MesoScopeQC",1825.91280199332,654.862843315711
"MS10C215m",1144.90077755915,405.970261103255
"MS10C2175m",406.98238645244,176.399211748624
"MS10C2DCM",1199.39901755549,558.680381419987
"MS11C215m",1291.48848674072,492.768077361626
"MS11C2175m",329.365422092352,124.998146743474
"MS11C2DCM",979.799645717803,395.558881000913
"MS12C115m",1145.60871381535,373.02157935222
"MS12C1175m",316.903421614011,128.871250953673
"MS12C1DCM",1391.12627199549,592.465820182016
"MS13C2175m",418.389190708991,176.85962673792
"MS13C2DCM",1061.35746192102,467.476096136702
"MS13C315m",879.479964384699,284.54683813181
"MS14C215m",1351.46800544111,450.306196345482
"MS14C2175m",486.93504378189,215.472866350227
"MS14C2DCM",1265.75812028132,525.328001647198
"MS4C115m",1052.20959694869,397.660099873151
"MS4C1175m",358.873892838263,151.72796387928
"MS4C1DCM",924.157773815952,437.485897757092
"MS5C115m",1058.75900497042,334.912684238533
"MS5C1175m",652.422181110632,347.394026179422
"MS5C1DCM",1020.11069681654,420.841037312747
"MS6C315m",1204.23101027094,386.586442394927
"MS6C3175m",594.628297547696,292.207608304762
"MS6C3DCM",934.877511076459,407.625717107296
"MS7C115m",1209.68343975142,416.030514568415
"MS7C1175m",501.600266189933,214.550689506357
"MS7C1DCM",1076.78489807545,503.993579177906
"MS8C115m",1048.10540609349,363.964795576696
"MS8C1175m",599.898338964947,295.470429439207
"MS8C1DCM",1099.12461984862,523.774480876081
"MS9C215m",1070.52081311435,348.296926661071
"MS9C2175m",405.571806920419,159.971715216317
"MS9C2DCM",1310.38868538005,527.57622404689
