"SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"Day1and2Poo",-23.0311100353384,-5.51112939189945
"Day1Poo",2.02188478890216,0.286212396428414
"MesoScopeQC",5.99896978301637,2.00446953590788
"MS10C215m",4.74619112154727,1.27549767499558
"MS10C2175m",-6.0475257639923,-1.12182815420334
"MS10C2DCM",-70.7122709944417,-19.9770384830075
"MS11C215m",7.13659262600877,2.13167046743213
"MS11C2175m",-14.7071815879909,-3.92504467693382
"MS11C2DCM",2.92372758170381,1.47768961950017
"MS12C115m",-18.1244533043534,-5.27029697645102
"MS12C1175m",-5.75432717409183,-1.0634151181258
"MS12C1DCM",7.0571551738981,2.75631791859289
"MS13C2175m",-0.858049617822332,-0.0613161656018622
"MS13C2DCM",-12.4028840015092,-2.97069634570447
"MS13C315m",4.73119699140832,1.57224815030271
"MS14C215m",-43.2587530531643,-12.77841996796
"MS14C2175m",-2.45034865918063,-0.357596401534443
"MS14C2DCM",0.0107596937539116,0.410738648144934
"MS4C115m",-29.1486628229826,-8.17116965153269
"MS4C1175m",-1.72479957584777,-0.220536312597402
"MS4C1DCM",-9.83940958083583,-2.52822146497442
"MS5C115m",2.92611166648777,1.19541214110532
"MS5C1175m",-3.04165823957174,-0.444838429436694
"MS5C1DCM",-2.32521552839185,-0.155068666039901
"MS6C315m",-1337.99412852738,-266.973995299707
"MS6C3175m",-6.13687640175531,-1.13801218718416
"MS6C3DCM",-12.0531681834446,-3.45591164017039
"MS7C115m",-8.41643230767063,-2.20368173746831
"MS7C1175m",-2.48757806435722,-0.344698619603249
"MS7C1DCM",-0.467510944564868,0.327056171250694
"MS8C115m",-11.6459496978953,-3.18590158301896
"MS8C1175m",-4.42205281595151,-0.802437918918251
"MS8C1DCM",-17.2044373573783,-4.31716482700421
"MS9C215m",-29.7231622142163,-8.58808838833705
"MS9C2175m",-5.31676772288577,-0.968303971804872
"MS9C2DCM",-37.7457726658914,-10.7219546200785
