"SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"Day1and2Poo",7501.10788735214,3041.21863145292
"Day1Poo",8.53619878198322,2.93732636493146
"MesoScopeQC",3633.57074448005,1310.53310717004
"MS10C215m",2290.60894483553,816.827648234592
"MS10C2175m",815.78478951595,355.362129526474
"MS10C2DCM",2408.05734989337,1133.71335349709
"MS11C215m",2575.69552163751,988.425377482023
"MS11C2175m",659.557922944186,250.662903439343
"MS11C2DCM",1953.75222449683,794.065763328396
"MS12C115m",2287.17094803218,753.240199449296
"MS12C1175m",635.391839391927,258.511768283184
"MS12C1DCM",2775.98772864204,1192.72633971138
"MS13C2175m",839.010333103246,354.81859060969
"MS13C2DCM",2118.19035158454,938.340469587762
"MS13C315m",1755.93898215133,570.865402434106
"MS14C215m",2704.80802641505,907.121989950501
"MS14C2175m",974.149865538933,432.289819272401
"MS14C2DCM",2537.15424629586,1058.67843500209
"MS4C115m",2105.29669906229,802.238628474545
"MS4C1175m",718.465525693662,303.534880934186
"MS4C1DCM",1835.84293390922,872.600078501797
"MS5C115m",2108.04875823236,671.31261516637
"MS5C1175m",1309.58517498315,699.540939209731
"MS5C1DCM",2040.33193947691,847.499790964613
"MS6C315m",2427.85946395261,779.808975937415
"MS6C3175m",1191.09828914811,587.79658024796
"MS6C3DCM",1859.34991686345,813.30281936475
"MS7C115m",2403.98532355788,829.367622192519
"MS7C1175m",1000.73548215767,428.840883458741
"MS7C1DCM",2146.83560366861,1009.80232749345
"MS8C115m",2087.77484110273,729.732989345469
"MS8C1175m",1204.31487188168,594.87647939384
"MS8C1DCM",2200.43103771187,1057.90631178914
"MS9C215m",2140.39052422518,701.364401262863
"MS9C2175m",812.490711283874,321.275488673932
"MS9C2DCM",2618.16327528818,1059.94980640541
